"Id nieruchomości","Nazwa dewelopera","Nr KRS","Nr wpisu do CEiDG","Nr NIP","Nr REGON","Nr telefonu","Adres poczty elektronicznej","Nr faxu","Adres strony internetowej dewelopera","Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera ","Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nazwa inwestycji","Adres strony internetowej inwestycji","Województwo adresu lokalu w którym prowadzona jest sprzedaż","Powiat adresu lokalu w którym prowadzona jest sprzedaż","Gmina adresu lokalu w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu w którym prowadzona jest sprzedaż","Ulica adresu lokalu w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu w którym prowadzona jest sprzedaż","Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego","Rodzaj nieruchomości: lokal mieszkalny dom jednorodzinny","Nr nieruchomości nadany przez dewelopera",Powierzchnia,"Piętro nieruchomości","Liczba pokoi","Stawka VAT (%)",Waluta,"Cena za m2 nieruchomości","Data od której obowiązuje cena za m2 nieruchomości","Cena nieruchomości","Data od której obowiązuje cena nieruchomości","Adres strony internetowej pod którym dostępny jest prospekt informacyjny","Inne świadczenia pieniężne"
2536,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.4,48.93,2,2,8,PLN,8500.00,"2025-11-04 00:00",415905.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2537,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.5,80.81,2,4,8,PLN,8200.00,"2025-11-04 00:00",662642.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2538,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.6,34.26,2,2,8,PLN,9100.00,"2025-11-04 00:00",311766.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2539,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A2.7,67.20,2,3,8,PLN,8500.00,"2025-11-04 00:00",571200.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2540,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.1,83.02,3,4,8,PLN,8500.00,"2025-11-04 00:00",705670.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2541,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.2,39.46,3,2,8,PLN,9100.00,"2025-11-04 00:00",359086.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2542,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.3,40.43,3,2,8,PLN,9000.00,"2025-11-04 00:00",363870.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2543,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.4,49.36,3,2,8,PLN,8600.00,"2025-11-04 00:00",424496.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2544,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.5,82.23,3,4,8,PLN,8300.00,"2025-11-04 00:00",682509.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2545,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.6,34.26,3,2,8,PLN,9300.00,"2025-11-04 00:00",318618.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2546,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A3.7,68.82,3,3,8,PLN,8700.00,"2025-11-04 00:00",598734.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2547,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.1,83.02,4,4,8,PLN,8700.00,"2025-11-04 00:00",722274.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2548,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.2,39.46,4,2,8,PLN,9400.00,"2025-11-04 00:00",370924.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2549,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.3,40.43,4,2,8,PLN,9300.00,"2025-11-04 00:00",375999.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2550,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.4,49.36,4,2,8,PLN,8700.00,"2025-11-04 00:00",429432.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2551,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.5,82.23,4,4,8,PLN,8400.00,"2025-11-04 00:00",690732.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2552,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.6,34.26,4,2,8,PLN,9600.00,"2025-11-04 00:00",328896.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2553,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A4.7,68.82,4,3,8,PLN,8900.00,"2025-11-04 00:00",612498.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2554,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.1,83.02,5,4,8,PLN,8900.00,"2025-11-04 00:00",738878.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2555,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.2,39.46,5,2,8,PLN,9700.00,"2025-11-04 00:00",382762.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2556,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.3,40.43,5,2,8,PLN,9600.00,"2025-11-04 00:00",388128.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2557,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.4,49.36,5,2,8,PLN,8900.00,"2025-11-04 00:00",439304.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2558,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.5,82.69,5,4,8,PLN,8500.00,"2025-11-04 00:00",702865.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2559,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.6,34.81,5,2,8,PLN,9900.00,"2025-11-04 00:00",344619.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2560,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A5.7,68.82,5,3,8,PLN,9100.00,"2025-11-04 00:00",626262.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2561,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A6.1,83.02,6,4,8,PLN,9100.00,"2025-11-04 00:00",755482.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2562,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A6.2,39.46,6,2,8,PLN,10000.00,"2025-11-04 00:00",394600.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
2563,"MADEY DEVELOPMENT 6 Spółka z ograniczoną odpowiedzialnością",0001179630,X,7282898948,542036426,576117119,sprzedaz@madeydevelopment.pl,X,www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Przybyszewskiego,199,205,93-120,"Piekarska Park",www.piekarskapark.pl,łódzkie,Łódź,Łódź,Łódź,Inflancka,120,X,91-848,łódzkie,Łódź,X,Łódź,Piekarska,27/29,91-314,Mieszkanie,A6.3,40.43,6,2,8,PLN,9900.00,"2025-11-04 00:00",400257.00,"2025-11-04 00:00",https://piekarskapark.pl/prospekt,X
